Year_Month,County,ELECTRIC,PLUG-IN HYBRID
2020/07,CECIL,82,74
2020/08,CECIL,85,75
2020/09,CECIL,88,76
2020/10,CECIL,92,79
2020/11,CECIL,95,85
2020/12,CECIL,99,83
2021/01,CECIL,104,85
2021/02,CECIL,109,86
2021/03,CECIL,115,87
2021/04,CECIL,117,89
2021/05,CECIL,120,94
2021/06,CECIL,128,96
2021/07,CECIL,137,97
2021/08,CECIL,140,105
2021/09,CECIL,149,107
2021/10,CECIL,150,108
2021/11,CECIL,155,114
2021/12,CECIL,154,118
2022/01,CECIL,162,126
2022/02,CECIL,165,126
2022/03,CECIL,178,135
2022/04,CECIL,185,136
2022/05,CECIL,189,137
2022/06,CECIL,196,142
2022/07,CECIL,200,146
2022/08,CECIL,206,144
2022/09,CECIL,208,146
2022/10,CECIL,211,150
2022/11,CECIL,229,152
2022/12,CECIL,239,157
2023/01,CECIL,244,160
2023/02,CECIL,257,160
2023/03,CECIL,263,162
2023/04,CECIL,267,166
2023/05,CECIL,274,171
2023/06,CECIL,279,182
2023/07,CECIL,290,188
2023/08,CECIL,295,195
2023/09,CECIL,310,204
2023/10,CECIL,315,214
2023/11,CECIL,319,220
2023/12,CECIL,331,218
2024/01,CECIL,337,222
2024/02,CECIL,348,233
2024/03,CECIL,365,230
2024/04,CECIL,381,234
